date,close,diff,ratio,open,high,low,volume,sumPos,sumNeg
2018/09/14,72100,600,0.84,72100,72800,71700,809166,10.4365978782,45.31556452799999
2018/09/17,71900,-200,-0.28,72400,73200,71800,521629,14.11086176923333,61.25314951199999
2018/09/18,69000,-2900,-4.03,71200,71500,68400,2606048,22.478946075699987,114.7865474194
2018/09/19,68200,-800,-1.16,69400,69400,67900,1494446,14.03614206605,77.91082968475
2018/09/20,69000,800,1.17,68300,70000,68200,1194328,14.5689168959,72.14430875779999
2018/09/27,69600,100,0.14,69100,70100,68500,897762,11.1805078874,49.88643218700001
2018/09/28,71000,1400,2.01,70000,71900,69900,1255496,35.544073345300006,150.5550299144499
2018/10/01,71100,100,0.14,71000,71500,70200,558633,8.549481892599998,37.8048601599
2018/10/02,69900,-1200,-1.69,70700,71300,69900,600630,21.2966415665,93.84460720600003
2018/10/04,69000,-900,-1.29,69700,70200,68400,681480,19.07261272062857,84.54927303660001
2018/10/08,67800,-2700,-3.83,69600,69700,67800,922338,8.56269612575,42.841653952650006
2018/10/16,63500,-800,-1.24,64300,65000,63400,508133,9.0903305641,33.966567762400004
2018/10/17,64600,1100,1.73,64500,65800,64000,676861,16.249983605599994,74.90463570270002
2018/10/24,64500,900,1.42,64200,64700,63500,543722,13.339348724724996,62.68735987425
2018/10/25,62700,-1800,-2.79,62700,63400,61700,661062,6.719982132900001,24.248594683099984
2018/10/26,61100,-1600,-2.55,63100,63900,60500,920580,14.3114772203,62.90079773135004
2018/10/30,61200,1800,3.03,58800,61700,58800,811009,23.1523399783,106.00373965960006
2018/11/01,66000,2700,4.27,63700,66500,63400,1056023,9.1011467718,39.146136215
2018/11/05,67600,400,0.6,67000,68000,66200,503725,18.9538634014,78.60199120210004
2018/11/07,67300,-700,-1.03,68400,69200,66600,738870,15.238988279700004,65.12166635229998
2018/11/09,71400,1500,2.15,70000,72300,69700,1129981,15.534497227300005,60.429632272500015
2018/11/12,71200,-200,-0.28,71000,72200,70000,631830,10.964458191600002,51.00670737570002
2018/11/13,70200,-1000,-1.4,70200,71400,68800,680494,10.7566387406,44.642202067700005
2018/11/14,69500,-700,-1.0,69600,71000,68700,527813,8.559218822400004,36.89960507699999
2018/11/15,70300,800,1.15,69600,70400,68900,459559,7.442249172000001,31.09869817415
2018/11/16,71800,1500,2.13,70900,72200,70300,690404,14.20356962065,55.43829447340004
2018/11/19,71600,-200,-0.28,72200,73100,71200,637905,9.9927079529,43.08795124229999
2018/11/21,69700,-800,-1.13,69900,70300,69200,483426,12.263920938100004,57.68585919155002
2018/11/27,71800,600,0.84,71700,72300,71500,478157,61.18530246339998,269.1307497312002
2018/11/29,73800,1400,1.93,73500,74600,73400,923966,23.39397696435,124.04799378065007
2018/12/03,74400,1900,2.62,74000,74500,73000,671484,2.9425804578,14.339932927899998
2018/12/06,68600,-3100,-4.32,71300,71300,68000,1054851,6.929659315000001,32.1877239598
2018/12/07,66900,-1700,-2.48,69400,69900,66700,1100511,10.649909917500006,48.7514287532
2018/12/10,65300,-1600,-2.39,66300,67400,64800,806527,5.0112653288,21.236129958300005
2018/12/12,67900,1200,1.8,66600,68200,65600,681318,9.43801783475,38.39202755885
2018/12/13,68200,300,0.44,68000,68800,67100,816888,7.546092566999998,32.18291491640001
2018/12/18,66900,-2200,-3.18,68200,68800,66800,627414,10.47595557575,42.3924061103
2018/12/19,65300,-1600,-2.39,66900,67500,65100,885616,19.239051290800003,82.25701525970001
2018/12/20,62600,-2700,-4.13,64500,64500,61800,1670644,17.665563310599996,84.27572163620007
2018/12/24,61800,-600,-0.96,62000,62400,61200,513348,19.319564627199995,76.94279975890007
2018/12/26,61300,-500,-0.81,61000,61900,60600,453037,1.852610025,13.5391833326
2018/12/27,61900,600,0.98,62500,63300,61700,562848,15.134072574533333,58.924119085766655
2019/01/02,62800,500,0.8,63300,64200,62700,568844,23.88602238576665,103.47379181450005
2019/01/07,64200,2000,3.22,63100,64700,62700,660173,15.750620146749998,66.08085680599999
2019/01/08,61900,-2300,-3.58,63700,63700,61200,1338626,14.612941408200005,69.33987438880001
2019/01/09,63200,1300,2.1,61700,63700,61600,950285,22.291685840700005,105.3297009252
2019/01/10,65600,2400,3.8,63100,66000,62700,1065551,8.995419857200002,39.9994346968
2019/01/11,66000,400,0.61,65700,66500,65200,601380,18.84867731214999,87.89836068650004
2019/01/15,65800,-100,-0.15,65600,66500,65300,560337,21.91815655929999,85.94279344760002
2019/01/16,66500,700,1.06,66000,67600,66000,565004,26.290861382899983,113.43127222760003
2019/01/17,66100,-400,-0.6,66800,67600,66000,467844,3.2498261309,13.7711374139
2019/01/22,64500,-1900,-2.86,66400,66900,64100,997141,10.477014590099996,37.26629179075002
2019/01/23,65200,700,1.09,64400,65700,64300,587708,12.145618923500006,56.43472496170002
2019/01/28,67700,-1800,-2.59,69600,70200,67600,809802,10.073162724100005,40.6209933145
2019/01/29,67400,-300,-0.44,67400,67400,66200,845170,10.75003965855,52.3487685401
2019/02/01,65400,-1200,-1.8,66300,66300,65200,1039069,28.414347044500023,110.12397804340002
2019/02/07,65900,500,0.76,65900,66400,65300,663706,15.876614468299998,85.53550356609999
2019/02/08,64800,-1100,-1.67,65500,65700,64700,690327,13.353745254900003,55.4665057361
2019/02/11,69300,4500,6.94,65000,69600,64900,1987125,7.07645055385,30.00852514089999
2019/02/12,71900,2600,3.75,70300,72900,70300,2499697,16.3867492635,71.95518289745002
2019/02/13,72100,200,0.28,72700,73900,71900,1310740,17.288960289350005,74.42659173035
2019/02/14,72300,200,0.28,70500,73000,70500,799937,12.845762899999997,61.21573052810001
2019/02/18,72000,0,0.0,73200,73400,71100,585460,7.3441527547,28.760959130149995
2019/02/19,72300,300,0.42,72000,73000,71000,520978,13.166230355666665,60.97654205663333
2019/02/20,72700,400,0.55,72400,73200,72300,503913,13.405524990599996,55.699653236600014
2019/02/25,71300,-1900,-2.6,73500,73600,70500,1097013,14.077610597233337,76.43615139583333
2019/02/26,70500,-800,-1.12,71300,71700,70400,509895,16.520623845299998,67.52959105210002
2019/02/27,72200,1700,2.41,70500,72500,70000,782090,23.49615866580001,107.2429455167
2019/02/28,70500,-1700,-2.35,72500,72500,70400,882603,8.457534094333338,41.419376755233344
2019/03/04,71200,700,0.99,70800,71800,70800,474980,15.365747339599992,72.01635036449998
2019/03/05,71300,100,0.14,70900,72000,70300,417224,7.321674139499997,34.70345148279999
2019/03/07,75100,700,0.94,75200,76700,74200,1846111,13.3042585562,57.22244744063335
2019/03/08,73700,-1400,-1.86,75000,76100,73300,734055,17.153327869,78.40295326125002
2019/03/13,76300,1900,2.55,74500,76300,74300,671827,11.873133080566667,55.88706356103335
2019/03/18,78200,1000,1.3,78000,78800,77400,585035,14.631435158750005,65.50123940845
2019/03/19,76100,-2100,-2.69,78100,78600,75300,874127,10.4725630606,46.0761581656667
2019/03/20,77400,1300,1.71,76500,77500,76000,623145,9.046937834274996,45.38116867592501
2019/03/21,74100,-3300,-4.26,77400,77400,73800,1570980,14.780883964016668,80.06519389980001
2019/03/22,76100,2000,2.7,74100,76200,72800,1456647,13.600994441275,64.500648870275
2019/03/25,73000,-3100,-4.07,74900,75100,73000,806732,12.627821698600007,56.3531809461
2019/03/26,73300,300,0.41,73800,75100,73000,778354,16.030052941620003,68.6340937348
2019/03/27,73900,600,0.82,74000,74900,73800,511443,5.30368928145,30.078161489950016
2019/03/29,75100,2900,4.02,72500,75100,72500,1064758,21.191821892100005,83.25410751040006
2019/04/01,76800,1700,2.26,75500,76800,75100,626814,15.573020216399998,73.47535180810003
2019/04/02,75900,-900,-1.17,77000,78100,75500,691913,9.592611563599998,40.158469199075
2019/04/03,76500,600,0.79,76000,77700,76000,887694,12.30946960334,55.164097760180006
2019/04/04,75600,-900,-1.18,77100,77100,75000,794535,37.05287831060002,151.1795375720002
2019/04/05,75800,200,0.26,75600,77500,74500,1051488,9.5921513827,39.06492706700001
2019/04/08,76400,600,0.79,76500,77300,75500,763891,22.592501269250004,92.71735053630005
2019/04/09,77600,1200,1.57,77200,77900,76400,1049976,14.189950001716662,62.32983935498334
2019/04/10,77200,-400,-0.52,77500,78400,76800,863213,6.5162959451,32.213428347800004
2019/04/11,77400,200,0.26,78000,78000,76800,603065,18.03027414145,72.44159170390003
2019/04/12,76000,-1400,-1.81,77600,77800,75800,806869,2.7275283422000003,14.028560560699995
2019/04/15,76600,600,0.79,76600,77100,76000,630842,5.022548288900001,21.47820991896667
2019/04/16,77900,1300,1.7,76400,78000,76300,767127,4.435894441199999,20.2352593138
2019/04/17,75900,-2000,-2.57,77900,78000,75700,996833,15.8064216431,84.12853535730004
2019/04/18,74000,-1900,-2.5,75900,76500,73800,935012,12.717793454666664,58.279042592716685
2019/04/19,73900,-100,-0.14,74600,74900,73600,451650,10.207457702399998,43.0277715108
2019/04/22,73500,-400,-0.54,74400,74500,73100,422266,13.305123176800006,54.50755977365
2019/04/23,74200,700,0.95,73000,74300,73000,456648,21.172603691700004,89.444393399
2019/04/24,73700,-500,-0.67,75400,75400,73500,611885,13.981002170737495,58.74286981385001
2019/04/25,77000,3300,4.48,74200,77000,74100,1382565,18.0890222421,79.79619154002499
2019/04/29,75900,1100,1.47,75100,75900,74700,413655,13.7038055844,57.058932527200014
2019/04/30,75800,-100,-0.13,75900,76200,74700,476352,18.114312575675,73.44460725340002
2019/05/02,76800,1000,1.32,75300,76900,75300,574899,7.86823920545,36.78407175215
2019/05/03,76600,-200,-0.26,76500,77200,75900,409579,12.4527074681,51.27967007210001
2019/05/07,77000,400,0.52,75200,77400,75100,685250,9.733917336499996,49.78707813750002
2019/05/08,76300,-700,-0.91,76300,77100,75900,469011,9.985319458533334,50.572460167333325
2019/05/09,73300,-3000,-3.93,76100,76500,73300,882026,17.554013337900003,76.48811631697502
2019/05/10,72400,-900,-1.23,73300,74100,71700,889534,9.198669167414286,43.28434635324288
2019/05/13,70400,-2000,-2.76,72400,72500,70200,863415,6.617075635725001,29.806400015525004
2019/05/14,71500,1100,1.56,69800,72200,69700,675293,7.959385064100001,43.670864489500005
2019/05/15,72500,1000,1.4,71500,72800,71400,481239,15.812828405133333,72.27306086156669
2019/05/16,71000,-1500,-2.07,72500,73300,70300,797872,10.966478623066664,55.87720579493335
2019/05/17,70900,-100,-0.14,71600,72700,70600,577604,10.3273460308,47.26277733446667
2019/05/20,70500,-400,-0.56,71500,71800,70400,455147,11.96833170784286,51.736829713642855
2019/05/21,72900,2400,3.4,70000,74000,70000,977936,15.64888204755,70.5806648488
2019/05/22,73100,200,0.27,73800,74000,72300,570131,7.44180350245,33.39000632024999
2019/05/23,75300,2200,3.01,74300,75700,73600,1020203,14.256593044975002,66.69771838105001
2019/05/24,76300,1000,1.33,75300,76900,75300,996814,15.229164547866668,60.100534831400005
2019/05/27,76600,300,0.39,76000,77100,75500,534540,16.539263922585715,72.82784476954285
2019/05/28,77500,900,1.17,76800,77800,76600,849444,8.8703404023,42.13763867713333
2019/05/29,77000,-500,-0.65,77300,77600,76000,566640,10.492670478675,55.41309774202499
2019/05/30,78400,1400,1.82,77500,78400,77100,595073,15.031883633925002,69.07206381262502
2019/06/03,81000,2400,3.05,78300,81000,77700,1199365,10.731108237375,56.31465342789999
2019/06/04,78600,-2400,-2.96,81100,81200,78600,746768,14.460542789075,63.94128852960001
2019/06/05,77600,-1000,-1.27,79400,79800,77300,686357,5.610352604466667,31.45663556976666
2019/06/07,78300,700,0.9,78000,79300,77900,586903,8.927569341375003,39.721098630875005
2019/06/10,77900,-400,-0.51,79100,79200,76500,788511,10.764129083600002,45.819066457200016
2019/06/11,82600,4700,6.03,79100,82600,78600,1765695,9.73489633155,58.226558222250006
2019/06/12,82000,-600,-0.73,82600,83400,81400,621262,10.90361619255,50.353786665825
2019/06/13,81900,-100,-0.12,82500,82500,80500,616931,18.56322899235,73.76362663824997
2019/06/14,80700,-1200,-1.47,81500,81700,79800,697659,8.998938905866666,49.40340099346668
2019/06/17,80700,0,0.0,80500,82600,80400,511634,10.642618782299998,56.84135782370002
2019/06/18,81300,600,0.74,81100,81600,80700,336762,8.859378972366668,48.54716505793333
2019/06/19,80800,-500,-0.62,82000,82200,80000,600944,9.2981697109,43.321016681466666
2019/06/20,80500,-300,-0.37,80700,81500,80000,426167,5.402394238675001,25.550017300775
2019/06/21,80400,-100,-0.12,80500,81100,79800,479526,15.109900817266665,60.432970911366674
2019/06/24,81300,900,1.12,81000,81300,80300,340793,16.865481961439997,72.84893577264003
2019/06/25,80300,-1000,-1.23,81200,81300,79600,399565,12.626260560299997,58.73658358529999
2019/06/26,79300,-1000,-1.25,79600,79900,78100,599410,17.137821939699997,80.78895811868001
2019/06/27,79700,400,0.5,79500,80400,79100,494293,12.14115794398,51.33381742438
2019/07/01,76700,-2600,-3.28,78400,78400,76300,1219190,15.6162997516,79.26658862920002
2019/07/02,77400,700,0.91,76900,77500,76500,559142,3.0254870557,18.524102002800003
2019/07/03,76300,-1100,-1.42,77500,77800,76300,436849,5.613797398450001,24.449302759799995
2019/07/04,76600,300,0.39,76700,77200,75700,264621,17.663548027766662,79.30534654780001
2019/07/05,72600,-4000,-5.22,76600,77200,72500,1835388,14.378405265624998,55.25452026347501
2019/07/08,71500,-1100,-1.52,71900,72100,70000,1088645,14.843873077299993,63.58270751070001
2019/07/09,70600,-900,-1.26,71500,72000,70300,588749,13.504764892699995,61.01993846773334
2019/07/10,70600,0,0.0,70500,71700,70500,733489,7.682445042433334,33.35971142703333
2019/07/11,70600,0,0.0,70800,71400,69900,756217,9.529847781366668,47.770335835166655
2019/07/15,70300,-500,-0.71,70700,70800,69800,441059,15.82045723032,65.78928836799999
2019/07/16,70000,-300,-0.43,70300,70800,69500,568181,10.955048595,53.52626617626668
2019/07/17,71100,1100,1.57,70300,71500,70200,630890,15.921809169324998,66.45914432342498
2019/07/18,69100,-2000,-2.81,70800,71000,68700,1023088,15.144495540999998,70.67727405490001
2019/07/19,70600,1500,2.17,69700,70900,69300,582803,16.3171454921,70.07526591844999
2019/07/22,70700,100,0.14,70600,71300,70300,398652,20.9095295021,89.95458552139999
2019/07/23,70800,100,0.14,70800,71200,70600,362832,9.582489076700002,41.1737918803
2019/07/24,70000,-800,-1.13,70600,71000,69900,317197,29.09625878519998,120.47683836510004
2019/07/25,69700,-300,-0.43,69800,70400,69300,458863,6.1938785552,26.3498519179
2019/07/26,68600,-1100,-1.58,69000,69600,68100,614213,11.909341115899998,53.51155753902499
2019/07/29,68600,0,0.0,68300,69700,68000,377474,12.95559440018,58.18228452932
2019/07/30,67500,-1100,-1.6,68400,68700,67400,505505,14.172884199266662,57.60275818073334
2019/07/31,65300,-2200,-3.26,67100,67500,64600,1247381,7.7232813225,38.32240255526667
2019/08/01,64100,-1200,-1.84,64100,65300,64000,676243,22.27708424135,97.23696305550004
2019/08/05,61600,-2000,-3.14,62800,63300,61600,806856,2.7060834641,11.8889330679
2019/08/06,60200,-1400,-2.27,59300,62200,59200,1042821,26.707678486099997,124.06787131854998
2019/08/07,59600,-600,-1.0,60300,61100,59100,837509,14.840568209442855,66.469540038
2019/08/08,59600,0,0.0,60300,60500,59600,864002,14.962886116400004,59.26400531673335
2019/08/09,60300,700,1.17,60500,61500,60100,641409,16.683530146233334,60.98219402926667
2019/08/12,60500,200,0.33,60600,60900,60100,350227,13.99477582715,63.07147346375002
2019/08/13,59800,-700,-1.16,60000,60500,59600,405225,10.4571265578,49.85667951360001
2019/08/14,60100,300,0.5,60500,60800,59800,513745,10.663128540285712,49.90020419127143
2019/08/16,59900,-200,-0.33,59700,60000,58500,466335,10.18829005985,48.1195278101
2019/08/19,60300,400,0.67,60300,60800,60100,306761,14.065329778875,61.27292289552501
2019/08/20,60800,500,0.83,60400,60900,60200,339259,10.563646638900003,45.972149185850014
2019/08/21,60700,-100,-0.16,60600,60900,60100,369160,10.095779433633334,41.93694428073334
2019/08/22,60600,-100,-0.16,60700,61500,60600,465946,11.822385392514288,58.37338910825714
2019/08/23,60700,100,0.17,60600,61000,60000,300527,9.258437613033331,43.70449934566667
2019/08/26,59500,-1200,-1.98,59800,60000,59500,385090,12.455881815666665,55.66177346845001
2019/08/27,59200,-300,-0.5,60000,60500,59100,611051,21.0079234995,91.04836356588
2019/08/28,60300,1100,1.86,59500,60500,59500,319818,9.781608223000005,44.5764720084
2019/08/29,59800,-500,-0.83,60500,60500,59500,245916,13.390871041044443,69.83679071236668
2019/08/30,61300,1500,2.51,60300,61800,60000,624060,13.276101644525005,66.76481985136668
2019/09/02,61400,100,0.16,61100,61500,60700,253018,13.284367915775002,66.63586137600001
2019/09/03,61700,300,0.49,61400,62000,60900,450012,15.674124169000002,71.92571075695001
2019/09/04,62100,400,0.65,61300,62100,60700,385424,13.271641726,58.34377683628572
2019/09/05,62300,200,0.32,62300,62600,61800,691827,18.83465073625,92.452864116925
2019/09/06,62000,-300,-0.48,62700,62800,61900,299704,16.148298524009995,80.88520725984999
2019/09/09,61300,-700,-1.13,61800,62000,61200,468845,17.234840318659998,81.27203876856001
2019/09/10,64900,3600,5.87,61300,65500,61300,1293106,14.202710701583332,55.94144166350001
2019/09/11,64500,-400,-0.62,65000,65600,63700,1005230,17.921919225099998,87.4467989406
2019/09/16,66200,1700,2.64,65700,66500,65000,935319,9.614672965383331,45.09256040969168
2019/09/17,65600,-600,-0.91,65400,65800,65000,495985,16.15918371141667,78.94263424548336
2019/09/18,66100,500,0.76,65800,66900,65400,454311,12.693299784955556,67.39437113625556
2019/09/19,65200,-900,-1.36,66600,66700,64800,582024,13.08047034966667,62.95005217620002
2019/09/20,65900,700,1.07,65200,65900,64800,499133,7.37677111186,39.70320500646
2019/09/23,65100,-800,-1.21,65800,65800,65000,348446,13.28404850498,58.77991047529999
2019/09/24,66800,1700,2.61,64800,67200,64800,676438,17.212947777245457,76.26252837910913
2019/09/25,66200,-600,-0.9,66400,66900,65800,330788,11.688994000066666,56.88161194232224
2019/09/26,67100,900,1.36,66600,68100,66500,579805,11.41563891035,52.325386314540005
2019/09/27,66700,-400,-0.6,67300,67300,66200,293599,13.041332276025,64.05598304547502
2019/09/30,67400,700,1.05,66300,67600,66000,364683,11.25414590325,61.82357765855
2019/10/01,66500,-900,-1.34,67200,67300,66200,488507,11.070024024568747,53.49298017566251
2019/10/02,66300,-200,-0.3,66500,66900,66000,394430,8.290492984699998,39.26805458825
2019/10/04,66400,100,0.15,66100,66900,65800,352541,24.218213858049992,90.4674679932
2019/10/07,69400,3000,4.52,66400,69700,66400,955986,8.011777320016668,47.75034709695001
2019/10/08,68300,-1100,-1.59,69600,69600,67900,894099,12.767649399042858,58.77535616211429
