title,date,article
"대우건설, 도시정비 ‘3조 클럽’ 달성...건설사 수주 1위
기사승인 2021. 11. 08. 09:34",2021. 11. 08. 09:34,"경기도 과천주공5단지 문주 투시도./제공=대우건설
관련종목
대우건설(047040)
대우건설이 경기 과천시 과천주공5단지 재건축사업 시공권을 따냈다. 4300억원 규모의 사업을 수주하면서 올해 건설업계 도시정비사업 누적 수주액 3조원을 돌파하며 1위 자리에 올랐다. 대우건설이 정비사업에서 한 해 3조원 넘게 수주한 것은 이번이 처음이다.

8일 정비업계에 따르면 대우건설은 지난 6일 열린 과천주공 5단지 재건축사업 시공사 선정 총회에서 조합원 62.1%의 찬성표를 받아 시공사로 선정됐다.

과천시 일원에 지하 3층~지상 35층, 9개동 총 1260가구와 상가 및 부대복리시설을 건설하는 사업이다. 공사금액은 4299억원(부가가치세 제외)이다.

대우건설은 이번 수주전에서 하이엔드 브랜드인 ‘써밋 마에스트로’를 제안했다. 써밋 마에스트로는 세계적인 건축 디자인 그룹인 캘리슨RTKL(CallisonRTKL)과 조경예술가 마샤 슈왈츠가 설계를 맡았으며 환경 분석 전문가인 여명석 서울대 교수가 일조·조망 등 단지 전체 건축 환경 분석에 참여했다.

‘자이 더 헤리티지’를 제시한 GS건설과의 치열한 경쟁에서 대우건설이 승기를 잡은 것은 조합원 이주비 문제를 해결하겠다고 밝힌 점이 주효했다는 평가를 받는다. 단지 시세가 15억원을 넘으면서 금융기관 이주비 대출이 막힌 가운데 대우건설은 특수목적법인(SPC) 설립과 자사 연대보증으로 조합원에게 이주비를 조달하겠다고 제안했다. 조합원 분담금을 입주 2년 뒤 낼 수 있도록 하고 신축 가구를 100% 중대형 평형으로 구성하는 등의 조건도 호응을 얻은 것으로 전해졌다.

이번 수주로 대우건설은 과천에서 과천 푸르지오 써밋(과천주공1단지), 과천 센트럴 푸르지오 써밋(과천주공7-1단지)과 함께 4200가구 규모의 브랜드 타운을 조성하게 됐다.

대우건설은 같은 날 대구시 동구 일원에서 진행되는 ‘대구 동구43구역’ 재개발사업도 시공사로 선정됐다. 지하 3층~지상 27층 아파트 21개동 총 1944가구와 부대복리시설을 짓는 사업으로 현대건설과 함께 컨소시엄을 구성해 참여했다. 총 공사비는 4829억원(부가가치세 제외)이며 대우건설의 지분은 45%(2173억원)다.

대우건설은 이번 수주로 올해 총 13개 프로젝트의 시공권을 획득하며 3조5867억원의 수주고를 올렸다. 3조 클럽에 입성하면서 업계 정비사업 누적 수주액 1위 자리에 올랐다. 현재 원주 원동주공 재건축, 불광1구역 재건축 등 입찰에 참여하고 있어 올해 수주 규모는 더욱 확대될 것으로 기대된다. 리모델링 사업을 재개해 2건의 사업을 수주한 것도 괄목할 만한 성과라고 대우건설은 강조했다."
"최성안號 삼성엔지니어링 실적 순항...해외현장 관리·신사업 ‘차별화’
기사승인 2021. 11. 07. 14:27",2021. 11. 07. 14:27,"관련종목
삼성엔지니어링(028050), KODEX 삼성그룹(102780), 삼성물산(028260)
최성안 사장이 이끄는 삼성엔지니어링이 순항하고 있다. 올해 3분기 주요 건설사들은 일회성 비용 발생으로 실적 ‘쇼크’를 겪었지만, 삼성엔지니어링은 해외현장 관리에 성공하면서 오히려 실적 개선세를 이어갔다. 아울러 수소사업 등 신사업에도 속도를 내면서 다른 건설사와 차별화되는 경쟁력을 보여줄지 관심이 쏠린다.

7일 삼성엔지니어링에 따르면 회사는 올해 3분기 매출 1조7466억원, 영업이익 1390억원, 순이익 979억원을 기록했다.

잠정실적이긴 하지만 전년 동기 대비 매출은 7.3%가 늘었고, 영업이익·순이익은 각각 24.1%, 42.6%나 증가했다. 시장의 기대 영업이익이 1099억원이었던 것을 고려하면 ‘어닝서프라이즈’라고 할 수 있다. 3분기 누적 영업이익은 3966억원으로 연간 영업이익 목표치(3900억원)를 초과 달성했다.

전 분기에 이어 연속으로 실적 개선에 성공한 것은 최 사장이 추진하는 EPC(설계·조달·시공) 관련 원가절감과 프로젝트의 수익성 관리가 통했다는 것을 뜻한다.

김미송 케이프투자증권 연구원은 “올 3분기 원화 약세에 따른 매출과 매출이익 증가분 402억원이 반영되면서 화공 분야에서의 매출이익률이 13.4%에 달했다”면서 “환율 영향을 제외해도 화공 매출이익률 9% 후반 수준으로 안정적인 수익을 창출하고 있다”고 진단했다.

삼성엔지니어링은 다른 건설사들과 달리 건축사업이 전혀 없고 화공(석유·가스)·비화공(환경·산업설비) 플랜트사업만 한다. 또한 해외사업이 전체 매출에서 차지하는 비중이 크다. 올해 상반기 기준으로 66%로 해외현장 관리가 사실상 실적을 좌우하는 셈이다.

높은 해외의존도는 코로나19 사태 이후 삼성엔지니어링의 불안한 요소로 꼽혔다. 특히 올 3분기 삼성물산과 GS건설 등이 해외현장의 비용 발생으로 실적 감소를 겪었기에 우려가 컸다. 삼성엔지니어링이 부딪힌 상황도 다른 회사와 크게 다르지 않았다. 삼성엔지니어링은 태국 타이오일 프로젝트에서 코로나19에 따른 공기 지연으로 추가 비용 291억원이 발생했다. 그러나 최 사장의 원가관리 경영이 빛을 발휘하면서 실적은 오히려 증가했다.

실적 방어에 성공하자 최 사장은 미래 먹거리에 눈을 돌렸다. 향후 중동·동남아에서 FEED(기본설계) 참여를 통한 EPC 연계 수주전략을 추진할 계획으로 현재까지 성과는 양호하단 평가가 나온다. 삼성엔지니어링의 누적 신규 수주는 4조3000억원으로 연간 목표치의 73%는 달성했다. 연간 목표 6조원은 무난히 달성할 전망이다.

신사업인 수소사업도 속도를 내고 있다. 지난달 삼성엔지니어링은 롯데케미칼, 포스코와 국내외 수소사업 개발을 위한 파트너십 구축 양해각서(MOU)를 체결했고, 지난 6월에는 글로벌 에너지 기술 기업인 베이커 휴즈와 탄소 포집·이용·저장기술(CCUS) 및 수소 에너지 이용 관련 업무협약을 체결한 바 있다.

현재 아랍에미리트 등 중동국가들은 기존 석유화학산업 외에도 청정에너지산업 육성에 힘을 싣고 있다. 아부다비국영석유회사는 2025년 안에 칼리파산업단지에 그린 암모니아를 생산할 수 있는 생산설비 건설도 추진하고 있다. 그린 암모니아는 재생에너지를 바탕으로 생산한 ‘그린 수소’를 변환해 만든 암모니아를 말한다. 수소 이송의 어려움을 해결하기 위한 한 방안으로 주목받고 있다.

그린 암모니아 생산 관련 사업은 삼성엔지니어링에 생소하지 않은 분야다. 삼성엔지니어링은 중동과 중남미, 아시아 등에서 중대형 암모니아 생산플랜트를 건설한 경험이 있다. 중동 발주처의 변화의 흐름이 삼성엔지니어링에는 위기가 아닌 기회로 작용할 수 있는 셈이다.

전문가들도 이런 점을 긍정적으로 바라보고 있다. 조영환 키움증권 연구원은 “삼성엔지니어링은 말레이시아 사라왁에서 수소 사업 개발을 추진 중이며 자체적으로도 수소 관련 기술 확보에 주력하고 있다”면서 “(이런 실적을 통해) 신규 수주나 추가적인 실적 성장이 기대된다”고 분석했다."
"부천시장-소니픽처스 부회장, 영상문화산업단지 추진 심층 논의
기사승인 2021. 11. 04. 07:51",2021. 11. 04. 07:51,"장덕천 부천시장(왼쪽)이 소니픽처스 제프리 고드식(Jeffrey Godsick) 부회장과 만나 영상문화산업단지 사업 참여 드을 논의했다. /제공=부천시
부천 장이준 기자 = 경기 ‘부천 영상문화산업단지 복합개발사업’ 메인 테넌트 중 하나인 소니픽처스(Sony Pictures)사 제프리 고드식(Jeffrey Godsick) 부회장이 지난 3일 부천시를 방문했다. 이는 2019년 4월 첫 방문에 이어 장덕천 시장과 두 번째 만남이다.

제프리 고드식(Jeffrey Godsick) 부회장은 사업관계자들이 참석한 간담회에서 영상문화산업단지 사업 참여 의지가 확고함을 재차 강조했으며 “현재 입주 계약체결을 위해 GS건설 컨소시엄과 협의 중으로 사업이 성공적으로 추진될 수 있도록 시와 지속적으로 협력해 나갈 것”이라고 밝혔다.

또한 영상문화산업단지 내에 ‘메타버스와 영상문화 콘텐츠를 결합한 세계 최초 온·오프라인 메타버스 융·복합센터’ 구현 계획을 논의했다. ‘부천 메타버스 융·복합센터’는 온라인과 오프라인 세상이 서로 융·복합돼 확장된 플래닛 세계를 구현할 예정이며 이 곳에서 다양한 영상 미디어 콘텐츠를 온라인 메타버스를 통해 경험하고 동시에 오프라인에서도 연동해 체험할 수 있다.

메타버스 융·복합센터는 청년과 지역사회에 새로운 교육 기회 제공을 위해 교육프로그램인 엑셀러레이팅(스타트업 기업이 성공할 수 있도록 멘토링 및 교육을 지원하는 것)프로그램을 도입할 계획이다.

제프리 고드식(Jeffrey Godsick) 부회장은 “소니픽처스 고용인력의 국내와 미국 현지 연수 프로그램을 추진할 것”이라고 덧붙이며 전문인력 양성 지원계획에 언급했다.

장덕천 시장은 “영상·문화는 지금까지 쌓아온 부천시 경쟁력이며, 여기에서 한발 더 나아가 만화, 영화 등 기존 콘텐츠와 새로운 뉴콘텐츠를 접목해 문화를 통해 지속가능한 지역발전을 도모하겠다”고 말했다.

부천시는 영상문화산업단지를 영상·문화콘텐츠, 첨단기업, 복합시설 등을 갖춘 ‘글로벌 영상·문화콘텐츠 허브단지’로서 뉴콘텐츠 생산 거점으로 개발한다는 계획이다. 기획부터 투자, 제작, 전시, 유통까지 한 곳에서 이루어지는 원스톱 콘텐츠 플랫폼 구축을 목표로 사업을 추진 중이며, 부천 영상문화산업단지는 2022년에 착공해 2027년에 준공될 예정이다."
"전국 오피스텔 연간 임대수익률 4.76%…13개월 연속 보합
기사승인 2021. 11. 03. 12:31",2021. 11. 03. 12:31,"연합
아파트에 대한 강도 높은 규제에 이어 대출규제까지 시행되면서 투자수요들이 오피스텔로 집중되는 모습이다.

3일 부동산R 114자료에 따르면 9월 전국 오피스텔 연간 임대수익률은 4.76%로 13개월 연속 수익률 보합세를 유지하고 있다. 전국 17개 시·도 가운데 제주와 대전이 연간 임대수익률 면에서 가장 높은 수익률을 나타냈다.

전국 시·도 별 임대수익률을 살펴보면 ▲제주 8.44% ▲대전 7.04% ▲광주 6.65% ▲경남 6.26% ▲강원 6.18% ▲충북 5.68% ▲인천 5.65% ▲부산 5.05 ▲전북 4.85% 등 9개 시·도가 전국 평균 임대수익률을 상회하고 있으며, 제주와 대전은 전국 평균 임대수익률에 두배에 달하는 임대수익률을 자랑하는 것으로 나타났다.

특히 지난해 9월 이후 전국 오피스텔 임대수익률이 13개월 연속 보합세를 보이고 있는 가운데, 같은 기간 임대수익률의 개선이 이루어진 지역은 ▲울산 0.46% ▲대구 0.09% ▲대전 0.04% ▲충남 0.04% ▲부산 0.02% ▲세종 0.01% 로 7개 지역만이 투자수익률 개선이 이루어졌다.

부동산 업계 전문가는 “부동산 시장에서 임대수익률은 매매가 및 분양가와 임대차 비용과 밀접하게 관계가 있으며 투자수요들이 해당 지역의 가치를 평가하는 중요한 지표이기도 하다”며 “최근 수도권 주택시장의 고강도 규제가 지속되며 오피스텔 시장으로 대규모 유동자금이 유입되고 있기 때문에, 투자수요라면 연간 임대수익률 지표를 통한 선별적 접근이 필요하다”고 조언했다.

이런 상황으로 올해 말 분양되는 오피스텔에도 관심이 모아지고 있다. 대전에서는 KCC건설이 서구 용문동 일대에서 ‘대전 씨엘리오 스위첸’을 이달 분양 예정이다. 단지는 지하 6층~지상 최고 40층, 2개동, 전용면적 81㎡, 83㎡ 아파트 146가구와 전용면적 59㎡, 119㎡로 구성된 오피스텔 98호실, 근린생활시설로 구성되어 있는 주거 복합 단지다. GS건설은 대구광역시 서구 내당동 220-1번지 일대에서 ‘두류역 자이’를 분양 예정이다. 단지는 지하 4층~지상 49층 7개동 규모로 아파트 1300가구, 오피스텔 86실로 구성된다. 부산 수영구 광안동 일대에 오피스텔 ‘위어뮤즈 디광안’을 이달 분양 예정이다. 단지는 지하 3층~지상 23층, 1개 동 규모로 전용 29~47㎡ 오피스텔 273실로 구성된다. 화성산업은 ‘더센트럴 화성파크드림’을 분양 예정이다. 1차 단지는 아파트 660가구, 오피스텔 171실 등 모두 831가구 규모다."
"건설사 덮친 일회성 비용...3분기 삼성물산 ‘울상’ 현대건설 ‘미소’
기사승인 2021. 11. 01. 18:00",2021. 11. 01. 18:00,"관련종목
삼성물산(000830), 삼성물산우(000835), 현대건설(000720), 현대건설우(000725), GS건설(006360), 대우건설(047040), DL(000210), DL우(000215), HDC(012630)
상장된 대형 건설사들의 올해 3분기 성적이 일회성 비용 여부로 엇갈렸다. 비용이 미친 영향은 삼성물산 건설부문이 가장 컸고 HDC현대산업개발, GS건설도 피해 가지 못했다. 반면 현대건설은 이번 분기에서 더 이상의 추가 비용이 발생하지 않아 해외현장에 대한 우려를 불식시켰다.

1일 업계에 따르면 10대 건설사 중 상장된 6개 건설사들은 지난달 말까지 연결기준 잠정 실적을 발표했다.

삼성물산 건설부문은 올해 3분기 매출액이 전년 동기 대비 22.5% 감소한 2조4070억원을 기록했다. 영업이익은 1300억원으로 적자를 기록했다.

삼성물산 관계자는 “탈석탄 기조로 발생하는 비용과 국내 석탄발전 프로젝트 수행 중 발생한 원가 상승으로 영업이익이 일시적으로 줄었다”고 설명했다.

HDC현대산업개발은 3분기 영업이익이 반토막났다. 이 회사는 올 3분기 매출 8594억원, 영업이익 664억원을 올렸다.

전년도 대비 매출액은 5.8% 늘었지만, 영업이익은 49.9%나 줄었다. 증권가의 예상과 완전히 다른 결과였다. 자체주택·건축사업 현장들에서 234억원의 하자 소송 충당금을 설정하면서 일회성 비용이 발생한 영향이라고 회사 측은 설명했다.

GS건설도 영업이익이 크게 감소했다. GS건설의 올해 3분기 매출은 2조1717억원, 영업이익은 1523억원을 기록했다. 이는 전년 동기 대비 각각 6.3%, 27.3% 준 수치다. 지난해 완공한 바레인 LNG터미널 현장 정산문제로 1400여억원의 일회성 비용이 반영된 영향이 컸다. GS건설은 이 비용을 향후에 환입할 방안을 모색 중이다.

증권가에선 하반기부터 코로나19 여파가 가라앉고 대형 건설사들이 견조한 실적을 보일 것이라고 예상했다. 상반기를 끝으로 일회성 비용은 끝날 것이라고 내다봤지만, 예상과 다른 결과가 나오자 4분기를 우려하는 분위기다. 박세라 신영증권 연구원은 “3분기 실적은 한마디로 충격적”이라며 “더욱이 비용 반영이 많이 일어나는 4분기를 앞둔 3분기에 이런 일이 발생했다는 점에서 4분기까지 비용 이슈가 이어질 것으로 전망된다”고 말했다.

반면 일회성 비용 이슈를 떨처낸 곳도 있었다. 현대건설은 전분기 해외현장의 쇼크를 딛고 견조한 실적 개선세을 보였다. 현대건설의 3분기 영업이익은 2204억원으로 전년 동기보다 57.6% 증가했고, 매출은 4조3519억원으로 7.7% 늘었다.

영업이익이 급등한 이유는 코로나로 멈췄던 해외 현장들이 다시 일을 시작하면서다. 사우디아라비아 마잔 가스처리 공사, 카타르 루사일 프라자 타워 공사 등 해외사업 매출이 올해 상반기 대비 증가했다.

대우건설은 올해 3분기 매출 2조1001억원, 영업이익 1123억원을 거뒀다고 밝혔다. 전년 동기 대비 각각 10.7%, 9.1% 늘어난 수치로 기대만큼은 아니었어도 선방했다는 평가가 나온다.

DL이앤씨는 전망치를 웃도는 실적을 발표했다. 이 회사는 올 3분기 매출 1조8068억원, 영업이익 2589억원을 거뒀다. DL이앤씨는 올해 회사 분할과 함께 연간 8300억원의 영업이익 목표를 제시했다. 3분기 누계 기준 6877억원으로 연간 목표 83%를 채운 상황이다. 김현욱 신한금융투자 연구원은 “예상을 뛰어넘는 높은 영업이익을 거뒀다”면서 “다만 올해 누적 수주액이 5조5000억원으로 목표치에 미달하고 있어서 4분기에는 수주가 더욱 중요해질 전망”이라고 분석했다."
"GS건설, ‘장유자이 더 파크’ 29일 견본주택 오픈
기사승인 2021. 10. 29. 12:13",2021. 10. 29. 12:13,"장유자이 더 파크 투시도/제공=GS건설
GS건설은 29일 경상남도 김해시 신문동 일원에 들어서는 ‘장유자이 더 파크’ 견본주택을 오픈하고 본격적인 분양에 돌입한다고 밝혔다.

장유자이 더 파크는 지하 2층~지상 28층 7개 동 전용면적 59~125㎡ 총 587가구로 조성된다. 전용면적별 가구수는 △59㎡A 112가구 △59㎡B 46가구 △78㎡ 24가구 △84㎡A 241가구 △84㎡B 110가구 △84㎡C 52가구 △125㎡ 2가구다.

청약 일정은 내달 8일 특별공급을 시작으로 9일 1순위 청약 접수를 받으며, 당첨자 발표는 오는 11월 16일이다. 비규제지역인 김해에서 분양하는 장유자이 더 파크는 전매제한이 없고, 김해시 뿐만 아니라 경남 부산 울산에 거주하는 1주택 이상 세대주 뿐만 아니라 세대원도 1순위 청약이 가능하다.

단지는 장유IC와 인접해 있어 차량을 이용한 남해고속도로로의 접근성이 뛰어나다. 또한, ‘부전-마산’을 연결하는 복선전철 ‘장유역’이 개통 예정으로 향후 복선전철을 이용해 장유역에서 부전까지 30분, 창원까지 27분이 소요될 예정으로 교통환경은 더욱 편리해질 전망이다.

단지와 약 600m 떨어진 곳에 상업지역이 위치해 다양한 생활인프라를 누릴 수 있는 것 또한 장점이다. 또 단지 전면으로는 반룡산이 위치하고, 산 끝자락으로 김해평야가 펼쳐져 있다. 단지에서 도보 거리에 흐르는 대청천과 연결되는 ‘장유누리길’은 율하천, 조만강까지 연결되는 총 길이 13.5km가 조성되어 있어 도심 속에서 자연을 느끼며 산책을 즐길 수 있는 환경을 갖췄다.

한편, GS건설은 최근 율하신도시에서 ‘원메이저자이(708가구)’, ‘율하자이힐스테이트(1245가구)’를 공급한 적이 있지만, 자이(Xi) 단독 브랜드 아파트로 김해에 공급하는 것은 지난 2005년 ‘진영자이’ 이후 16년만이다.

GS건설 분양관계자는 “김해에 오랜만에 자이(Xi) 단독 브랜드 아파트로 선보이는 만큼 상품 준비에 심혈을 기울였다”며, “자연과 함께할 수 있는 입지에 편리한 인프라까지 갖춘만큼 장유자이 더 파크가 지역 내 랜드마크가 될 수 있도록 노력하겠다”고 말했다.

장유자이 더 파크의 견본주택은 사전 예약제로 운영된다.

입주는 2024년 3월 예정이다."
"GS건설, 2.7조원 규모 호주 건설시장 첫 진출
기사승인 2021. 10. 28. 16:56",2021. 10. 28. 16:56,"호주 NEL프로젝트 그린즈버러 지역 조감도/제공=GS건설
GS건설이 호주 건설 시장에 첫 진출했다.

GS건설 컨소시엄은 호주 노스이스트링크(North East Link Primary PKG) PPP사업 입찰에 참여해 호주 빅토리아 주정부 산하 주무관청(Major Transport Infrastructure Authority)으로부터 최종 낙찰자로 선정됐다고 28일 밝혔다.

PPP(Public-Private Partnership) 사업이란 민관합작투자사업으로 공적자금과 민간재원이 함께 투입되는 개발협력 사업이다. 민간은 도로 등의 공공 인프라 투자와 건설, 유지, 보수 등을 맡되 운영을 통해 수익을 얻고 정부는 세금 감면과 일부 재정 지원을 해주는 상생 협력 모델로 꼽힌다.

GS건설의 계약 금액은 약 31억7526만 호주 달러(한화 약 2조7785억원)에 달한다. GS건설이 참여한 컨소시엄의 재무투자자(Equity Investors)는 GS건설, Capella, John Laing, DIF, Pacific Partnership, Webuild로 구성돼 있으며, 건설JV(Construction Joint Venture)에는 GS건설, CPB, Webuild, China State가 참여했다.

이 사업은 호주 3대 도시 중 하나인 멜버른(Melbourne)시의 인구증가 및 도시 확대에 따라 북동부의 외곽순환도로(Metropolitan Ring Road)와 동부도로(Eastern Freeway)간 단절된 구간을 연결하는 사업으로, 인근지역 교통 혼잡도 저감 및 일자리 창출을 통해 주변지역 경제 활성화에도 크게 기여할 것으로 기대된다.

공사는 TBM(Tunnel Boring Machine)터널 및 개착식 터널 등을 포함한 총 6.5Km 의 편도 3 차로 병렬 터널과 이에 따른 환기시설, 주변 연결도로 시공이 주된 업역이며, 사업주는 완공 후 25년 간 운영 및 유지관리업무를 수행할 예정이다.

GS건설은 이 사업이 선진 건설시장에서 한국 건설사의 기술력과 자금조달 능력을 인정 받은 좋은 사례라며 세계적 역량을 갖춘 글로벌 업체간의 적극 협업을 통한 기술혁신 및 안전시공을 통해 목표 이상의 성과를 창출할 수 있는 성공적인 사례가 될 것으로 기대한다고 전했다.

GS건설 관계자는 “싱가포르 등 해외에서 다년간 쌓은 기술력과 국내 PPP사업 강자로서의 수행 역량을 바탕으로 호주 등 신시장에서의 신규사업을 적극적으로 추진하고 있다”며, “이번 프로젝트를 통해 기존의 단순 설계, 시공을 담당하던 영역을 투자, 금융조달, 운영 등을 포함한 사업 전반의 영역으로 확대해 PPP를 포함한 개발사업 분야에서 글로벌 탑티어(Top Tier)로 도약하는 발판으로 삼겠다”고 포부를 전했다."
"GS건설, 3분기 영업이익 1520억원…4분기 크게 반등 전망
기사승인 2021. 10. 27. 17:47",2021. 10. 27. 17:47,"GS건설이 3분기 영업이익 1520억원, 영업이익률 7.0%를 달성했다고 27일 밝혔다.

GS건설은 이날 공정 공시를 통해 3분기 매출 2조1720억원, 영업이익 1520억원, 세전이익 1940억원, 신규수주 2조6300억원의 경영실적(잠정)을 발표했다. 매출은 전년 동기 대비 6.3% 감소했지만 세전이익은 36.6% 증가했다.

GS건설은 3분기 일회성 요인으로 인한 비용 반영으로 매출과 영업이익 모두 일시적으로 줄었지만 4분기 실적은 대규모 해외수주 등으로 크게 반등할 것으로 전망했다.

영업이익은 전년 동기 대비 27.3% 감소하였으며 이는 지난해 완공한 바레인 LNG터미널 현장의 정산 문제로 1400여억원의 일회성 비용을 반영한 영향이다. 이 비용은 향후 적절한 절차를 거쳐 환입 방안을 모색할 계획이다. 3분기 1400여억원의 일회성 비용이 영업이익에서 빠진 것을 감안하고도 1520억원의 영업 흑자를 기록해, 일회성 비용을 뺀 실적은 지난해에 비해 오히려 개선됐다.

매출과 영업이익 견인은 1등 브랜드 자이의 경쟁력을 갖춘 건축·주택부문과 신사업부문이 이끌었다. 건축·주택부문은 3분기 매출1조6,040억원에 매출 총이익률 20.3%를 기록했고, 신사업부문도 같은 기간 매출 1890억원에 매출 총이익률 13.9%를 달성했다. 미래 성장을 가늠하는 지표인 신규수주는 2조6300억원으로 전년 동기대비 소폭 하락했지만 4분기 GS이니마의 오만 수주 추가 인식과 호주 대규모 인프라 수주가 예정돼 있어 증가세로 돌아설 것으로 전망된다.

한편 3분기 누적 실적은 매출 6조4180억원, 영업이익 4540억원, 신규수주 7조4280억원이었다. 매출과 영업이익은 전년 동기 대비 각각 12.2%, 16.8%가 줄었다. 반면 신규수주는 전년 수준을 유지했다. 영업이익률과 세전이익률은 각각 7.1%, 8.1%를 기록하며 견조한 이익률을 달성했다.

GS건설은 “3분기에는 일회성 요인으로 인한 영향이 있었지만 4분기 이후에는 건축·주택부문, 신사업 부문의 성장과 해외 수주의 호조로 반등해 견조한 성장세는 이어질 것”이라며 “수익성에 기반한 선별 수주와 경쟁력 우위 사업에 대한 지속적인 투자, 그리고 적극적인 신사업 발굴을 통해 성장 동력을 확보해 나가 지속 가능 경영의 기반을 탄탄히 할 것”이라고 밝혔다."
"부천영상문화단지 개발 위한 행정절차 본격화
기사승인 2021. 10. 25. 15:36",2021. 10. 25. 15:36,"부천영상문화산업단지 조감도./제공=부천시
부천 장이준 기자 = 경기 부천시는 ‘부천영상문화산업단지 복합개발사업’ 도시관리계획 결정(변경) 공람·공고를 10월 25일부터 11월 8일까지 14일간 실시한다고 밝혔다.

시는 공람·공고 후 환경부, 국토교통부 등 관련 기관과 전략환경영향평가 협의와 교통영향평가 심의 등 부천영상문화산업단지 개발 행정절차를 본격 시행할 방침이다. 내년 3월 도시관리계획 결정(변경) 고시 후 5월 중 토지매매계약 체결 후 2022년 하반기 착공, 2027년 준공을 목표로 추진한다.

부천영상문화산업단지는‘도시개발법’에 따른 대규모 개발사업(택지)이 아닌 ‘외국인투자 촉진법’과 ‘공유재산 및 물품 관리법’에 의거한 토지 매각으로, 매각 토지에 영상·문화산업 등에 대한 시 정책 방향을 반영해 개발한다는 구상이다.

시는 2018년 12월 본사업 공모 시 경쟁을 통한 최적안 제시 사업자 선정을 위해 토지가격 외 개발이익에 따른 공공기여를 제안토록 공모지침서에 명기했다. 이에 개발계획, 공공기여 등에서 최고점을 받은 GS건설 컨소시엄을 우선협상대상자로 선정, 57차례 협상을 통해 8,770억원 공공기여를 포함한 협약을 체결했다.

특히 사업대상지 중 기반시설을 제외한 약 6만여 평 매각을 통해 1조원 이상 토지매각대금을 확보해 원도심 재생사업 등 주요사업 추진에 박차를 가할 계획이다. 시는 콘텐츠 플랫폼 구축과 글로벌 영상·문화 허브단지 조성에 투자해 1석2조 사업효과를 얻을 수 있을 것으로 기대하고 있다.

향후 토지가격은 용도지역 변경 후 토지매매계약 체결 시점에 부천시가 감정평가한 금액과 민간사업자가 제출한 토지가격 중 높은 금액으로 결정한다. 이에 시는 영상단지 재산가치를 높이 평가 받고 최근 부동산 가치 상승분을 반영해 토지감정평가가 이루어지도록 매진할 계획이다.

부천영상문화산업단지는 상동 529-2번지 일대 약38만㎡에 4조1900억원을 들여 영상문화콘텐츠 거점 공간으로 조성될 예정이다. 문화산업 융·복합센터, 70층 높이 랜드마크타워, 국립영화박물관, e-스포츠 경기장 등 다양한 문화시설이 들어서며 신규 일자리 창출 효과로 지역 경제 활성화에 마중물이 될 전망이다.

시 관계자는 “도시관리계획 변경 후 2022년 5월 토지매매 계약을 체결하면 본격적으로 사업이 진행될 예정”이라며 “할리우드 5대 메이저 영화사 중 하나인 소니픽처스를 비롯해 레전더리 엔터테인먼트, EBS 등 국내외 입주 예정 기업들과 함께 성공적 추진을 위해 활발하게 협의중이다. 앞으로 본 사업이 차질 없이 진행될 수 있도록 최선을 다하겠다”고 밝혔다."
"LG유플러스, GS건설과 공사현장서 5G 로봇 실증 성공
기사승인 2021. 10. 25. 09:23",2021. 10. 25. 09:23,"LG유플러스는 GS건설과 함께 5G로 원격 제어하는 로봇을 도로 공사현장에서 실증하는데 성공했다고 25일 밝혔다./제공=LG유플러스
LG유플러스는 GS건설과 함께 5G로 원격 제어하는 로봇을 도로 공사현장에서 실증하는데 성공했다고 25일 밝혔다.

양사는 지난 19일 오후 배곧신도시에서 열린 실증행사에서 보스턴다이내믹스가 만든 사족보행로봇 ‘스폿(Spot)’을 사용했다. 로봇에는 5G 라우터와 3D 레이저스캐너가 장착됐으며, 사람이 들어갈 수 없는 좁은 통로를 촬영해 서버로 영상을 전송했다. 이 영상은 공사현장의 3D 지도를 제작하는데 활용됐다.

이번 실증은 로봇이 보내온 영상을 조종사가 현장사무소에서 보고 이동시키며 진행됐다. 5G를 활용하기 전까지는 와이파이(Wi-Fi, 2.4㎓)를 사용해야 했는데, 로봇이 땅속 깊숙한 곳으로 들어가면 통신이 불안정해지는 문제가 있어 실험용으로만 사용됐다. LG유플러스는 이번 실증을 위해 5G 라우터에 고정 IP를 할당하고 경로에 제한 없이 로봇을 제어할 수 있음을 확인했다.

LG유플러스는 이 로봇에 다양한 사물인터넷(IoT) 센서를 장착해 각종 산업현장에 투입할 계획이다. 가스 감지센서를 장착해 공장 배출가스를 실시간 감지하고, 열화상카메라로 작업자의 체온 또는 화재여부를 감시하는데 활용할 수 있다.

GS건설은 4차산업의 혁신적인 기술 도입을 통해 스마트 컨스트럭션을 구현하고자 적극적으로 관련 기술의 연구 및 개발에 집중하고 있으며, 국내 최초로 사족보행로봇 ‘스폿’을 건설현장에 도입하여 유해가스 검출 및 위험지역 투입 등의 스마트 안전 관리의 현장 데이터 취득을 통한 건설 공정 및 품질 검증에 적용해왔다.

이번 배곧신도시 해안도로 확충공사 건설현장의 5G 기반 로봇 운영 기술검증을 통해 건설분야 로봇 도입을 선도해 나가고 적용 분야를 확대해 나갈 예정이다.

서재용 LG유플러스 스마트인프라사업담당은 “5G와 연결된 로봇이 건설현장에서 일꾼역할을 톡톡히 할 수 있음을 이번 실증을 통해 확인했다”며 “LG유플러스는 건설현장뿐만 아니라 스마트팩토리, 항만 등 다양한 산업현장에 투입하여 효율적이고 안전한 작업장을 만들어가도록 노력하겠다”고 말했다."
